,Funding Orgs
57,"Center for Integrative Petroleum Research in the College of Petroleum Engineering and Geosciences, King Fand University of Petroleum and Minerals, Kingdom of Saudi Arabia"
58,"Center for Integrative Petroleum Research, College of Petroleum Engineering AMP; Geosciences at KFUPM in the Kingdom of Saudi Arabia; Center of Research Excellence in Nanotechnology (CENT) at KFUPM in the Kingdom of Saudi Arabia"
59,"Center for Integrative Petroleum Research, King Fahd University of Petroleum & Minerals, Saudi Arabia"
60,"Center for Integrative Petroleum Research, King Fahd University of Petroleum Minerals"
61,"Center for Integrative Petroleum Research, King Fahd University of Petroleum Minerals [SF 17005]"
62,Center for Refining and Petrochemicals at King Fahd University of Petroleum and Minerals (KFUPM)
63,"center for refining and petrochemicals, King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia"
64,Center for Research Excellence in Desalination & Water Treatment at King Fand University of Petroleum and Minerals
65,Center for Research Excellence in Desalination and Water Treatment at King Fahd University of Petroleum and Minerals [DISC1504]
66,Center for Research Excellence in Desalination at King Fahd University of Petroleum and Minerals [DISC1505]
67,"Center of Energy and Geo-Processing (CeGP), King Fahd University of Petrol Minerals [GTEC1701]"
68,"Center of Energy and Geo-Processing (CeGP), King Fahd University of Petroleum and Minerals [GTEC1701]"
69,"Center of Energy and Geo-Processing (CeGP), King Fahd University of Petroleum and Minerals [GTEC1701]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)"
70,Center of Excellence for Scientific & Research Collaboration with MIT (CoRE-SRC MIT) at KFUPM [R16-CE]
71,Center of Excellence in Nanotechnology (CENT) at King Fahd University of Petroleum and Minerals (KFUPM)
72,Center of Excellence in Nanotechnology (CENT) at King Fahd University of Petroleum and Minerals (KFUPM) in Kingdom of Saudi Arabia
73,"Center of Excellence in Nanotechnology (CENT) at King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [NT-2015-02]"
74,Center of Excellence in Nanotechnology (CENT) at King Fahd University of Petroleum and Minerals (KFUPM); Physics department at King Fahd University of Petroleum and Minerals (KFUPM)
75,"Center of Excellence in Nanotechnology (CENT), King Fahd University of Petroleum and Minerals (KFUPM)"
76,Center of Excellence in Nanotechnology (CENT); KFUPM
77,Center of Excellence in Nanotechnology at King Fahd University of Petroleum and Minerals
